# modelo=pao_beta2.25_mu0.033
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.0005
# eta=3.343701524882e-03
# Re_nominal=2000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.230396317127308e+00,1.052932597650398e+00,4.114078041787911e-03
1.234655436015804e+00,1.046759282828236e+00,4.128319264110030e-03
1.238929298197542e+00,1.040622129062884e+00,4.142609783604242e-03
1.243217954707653e+00,1.034520924577932e+00,4.156949770916797e-03
1.247521456757932e+00,1.028455458837182e+00,4.171339397284648e-03
1.251839855737447e+00,1.022425522537386e+00,4.185778834537504e-03
1.256173203213156e+00,1.016430907601022e+00,4.200268255099874e-03
1.260521550930515e+00,1.010471407169123e+00,4.214807831993126e-03
1.264884950814107e+00,1.004546815594133e+00,4.229397738837563e-03
1.269263454968252e+00,9.986569284328187e-01,4.244038149854482e-03
1.273657115677637e+00,9.928015424392127e-01,4.258729239868264e-03
1.278065985407933e+00,9.869804555576049e-01,4.273471184308463e-03
1.282490116806428e+00,9.811934669155717e-01,4.288264159211889e-03
1.286929562702652e+00,9.754403768170448e-01,4.303108341224726e-03
1.291384376109010e+00,9.697209867354234e-01,4.318003907604629e-03
1.295854610221411e+00,9.640350993067269e-01,4.332951036222844e-03
1.300340318419908e+00,9.583825183227830e-01,4.347949905566337e-03
1.304841554269335e+00,9.527630487244627e-01,4.363000694739918e-03
1.309358371519941e+00,9.471764965949498e-01,4.378103583468385e-03
1.313890824108041e+00,9.416226691530494e-01,4.393258752098669e-03
1.318438966156650e+00,9.361013747465415e-01,4.408466381601984e-03
1.323002851976138e+00,9.306124228455661e-01,4.423726653575994e-03
1.327582536064873e+00,9.251556240360518e-01,4.439039750246976e-03
1.332178073109875e+00,9.197307900131823e-01,4.454405854472000e-03
1.336789517987465e+00,9.143377335748988e-01,4.469825149741109e-03
1.341416925763927e+00,9.089762686154426e-01,4.485297820179515e-03
1.346060351696158e+00,9.036462101189355e-01,4.500824050549791e-03
1.350719851232332e+00,8.983473741529975e-01,4.516404026254086e-03
1.355395480012563e+00,8.930795778624006e-01,4.532037933336327e-03
1.360087293869567e+00,8.878426394627613e-01,4.547725958484452e-03
1.364795348829329e+00,8.826363782342690e-01,4.563468289032637e-03
1.369519701111772e+00,8.774606145154538e-01,4.579265112963525e-03
1.374260407131433e+00,8.723151696969852e-01,4.595116618910481e-03
1.379017523498127e+00,8.671998662155138e-01,4.611022996159837e-03
1.383791107017632e+00,8.621145275475438e-01,4.626984434653158e-03
1.388581214692362e+00,8.570589782033450e-01,4.643001124989505e-03
1.393387903722053e+00,8.520330437208968e-01,4.659073258427716e-03
1.398211231504439e+00,8.470365506598724e-01,4.675201026888684e-03
1.403051255635942e+00,8.420693265956525e-01,4.691384622957658e-03
1.407908033912359e+00,8.371312001133804e-01,4.707624239886528e-03
1.412781624329553e+00,8.322220008020460e-01,4.723920071596150e-03
1.417672085084142e+00,8.273415592486090e-01,4.740272312678646e-03
1.422579474574200e+00,8.224897070321526e-01,4.756681158399742e-03
1.427503851399947e+00,8.176662767180757e-01,4.773146804701087e-03
1.432445274364455e+00,8.128711018523150e-01,4.789669448202601e-03
1.437403802474347e+00,8.081040169556045e-01,4.806249286204816e-03
1.442379494940502e+00,8.033648575177649e-01,4.822886516691243e-03
1.447372411178762e+00,7.986534599920299e-01,4.839581338330724e-03
1.452382610810644e+00,7.939696617894042e-01,4.856333950479811e-03
1.457410153664048e+00,7.893133012730539e-01,4.873144553185146e-03
1.462455099773972e+00,7.846842177527312e-01,4.890013347185850e-03
1.467517509383234e+00,7.800822514792302e-01,4.906940533915916e-03
1.472597442943184e+00,7.755072436388777e-01,4.923926315506619e-03
1.477694961114430e+00,7.709590363480522e-01,4.940970894788929e-03
1.482810124767563e+00,7.664374726477386e-01,4.958074475295932e-03
1.487942994983882e+00,7.619423964981142e-01,4.975237261265260e-03
1.493093633056124e+00,7.574736527731643e-01,4.992459457641530e-03
1.498262100489195e+00,7.530310872553312e-01,5.009741270078793e-03
1.503448459000906e+00,7.486145466301958e-01,5.027082904942989e-03
1.508652770522711e+00,7.442238784811859e-01,5.044484569314408e-03
1.513875097200442e+00,7.398589312843195e-01,5.061946470990170e-03
1.519115501395055e+00,7.355195544029788e-01,5.079468818486698e-03
1.524374045683375e+00,7.312055980827119e-01,5.097051821042213e-03
1.529650792858840e+00,7.269169134460672e-01,5.114695688619231e-03
1.534945805932253e+00,7.226533524874579e-01,5.132400631907074e-03
1.540259148132535e+00,7.184147680680558e-01,5.150166862324379e-03
1.545590882907479e+00,7.142010139107160e-01,5.167994592021626e-03
1.550941073924508e+00,7.100119445949297e-01,5.185884033883674e-03
1.556309785071433e+00,7.058474155518082e-01,5.203835401532298e-03
1.561697080457220e+00,7.017072830590964e-01,5.221848909328745e-03
1.567103024412754e+00,6.975914042362128e-01,5.239924772376291e-03
1.572527681491604e+00,6.934996370393229e-01,5.258063206522805e-03
1.577971116470800e+00,6.894318402564370e-01,5.276264428363339e-03
1.583433394351600e+00,6.853878735025402e-01,5.294528655242700e-03
1.588914580360271e+00,6.813675972147483e-01,5.312856105258057e-03
1.594414739948866e+00,6.773708726474944e-01,5.331246997261538e-03
1.599933938796006e+00,6.733975618677418e-01,5.349701550862845e-03
1.605472242807662e+00,6.694475277502258e-01,5.368219986431879e-03
1.611029718117945e+00,6.655206339727238e-01,5.386802525101368e-03
1.616606431089896e+00,6.616167450113511e-01,5.405449388769513e-03
1.622202448316277e+00,6.577357261358874e-01,5.424160800102629e-03
1.627817836620365e+00,6.538774434051283e-01,5.442936982537811e-03
1.633452663056751e+00,6.500417636622643e-01,5.461778160285602e-03
1.639106994912143e+00,6.462285545302872e-01,5.480684558332666e-03
1.644780899706166e+00,6.424376844074244e-01,5.499656402444476e-03
1.650474445192170e+00,6.386690224625978e-01,5.518693919168015e-03
1.656187699358040e+00,6.349224386309116e-01,5.537797335834474e-03
1.661920730427006e+00,6.311978036091642e-01,5.556966880561970e-03
1.667673606858457e+00,6.274949888513888e-01,5.576202782258270e-03
1.673446397348761e+00,6.238138665644177e-01,5.595505270623525e-03
1.679239170832085e+00,6.201543097034750e-01,5.614874576153011e-03
1.685051996481216e+00,6.165161919677925e-01,5.634310930139884e-03
1.690884943708389e+00,6.128993877962540e-01,5.653814564677941e-03
1.696738082166115e+00,6.093037723630628e-01,5.673385712664387e-03
1.702611481748014e+00,6.057292215734361e-01,5.693024607802623e-03
1.708505212589646e+00,6.021756120593241e-01,5.712731484605033e-03
1.714419345069353e+00,5.986428211751532e-01,5.732506578395785e-03
1.720353949809099e+00,5.951307269935961e-01,5.752350125313644e-03
1.726309097675307e+00,5.916392083013654e-01,5.772262362314783e-03
1.732284859779715e+00,5.881681445950316e-01,5.792243527175624e-03
1.738281307480217e+00,5.847174160768662e-01,5.812293858495669e-03
1.744298512381719e+00,5.812869036507096e-01,5.832413595700352e-03
1.750336546336995e+00,5.778764889178615e-01,5.852602979043897e-03
1.756395481447542e+00,5.744860541729976e-01,5.872862249612193e-03
1.762475390064441e+00,5.711154824001080e-01,5.893191649325663e-03
1.768576344789224e+00,5.677646572684617e-01,5.913591420942156e-03
1.774698418474739e+00,5.644334631285916e-01,5.934061808059854e-03
1.780841684226020e+00,5.611217850083071e-01,5.954603055120168e-03
1.787006215401160e+00,5.578295086087262e-01,5.975215407410668e-03
1.793192085612187e+00,5.545565203003330e-01,5.995899111068003e-03
1.799399368725945e+00,5.513027071190583e-01,6.016654413080847e-03
1.805628138864970e+00,5.480679567623817e-01,6.037481561292846e-03
1.811878470408383e+00,5.448521575854581e-01,6.058380804405576e-03
1.818150437992774e+00,5.416551985972660e-01,6.079352391981515e-03
1.824444116513093e+00,5.384769694567783e-01,6.100396574447022e-03
1.830759581123544e+00,5.353173604691567e-01,6.121513603095327e-03
1.837096907238486e+00,5.321762625819664e-01,6.142703730089534e-03
1.843456170533329e+00,5.290535673814153e-01,6.163967208465627e-03
1.849837446945441e+00,5.259491670886122e-01,6.185304292135500e-03
1.856240812675052e+00,5.228629545558504e-01,6.206715235889980e-03
1.862666344186168e+00,5.197948232629113e-01,6.228200295401876e-03
1.869114118207479e+00,5.167446673133880e-01,6.249759727229028e-03
1.875584211733279e+00,5.137123814310340e-01,6.271393788817374e-03
1.882076702024382e+00,5.106978609561310e-01,6.293102738504020e-03
1.888591666609051e+00,5.077010018418776e-01,6.314886835520330e-03
1.895129183283915e+00,5.047217006508004e-01,6.336746339995016e-03
1.901689330114906e+00,5.017598545511860e-01,6.358681512957250e-03
1.908272185438185e+00,4.988153613135334e-01,6.380692616339777e-03
1.914877827861082e+00,4.958881193070271e-01,6.402779912982044e-03
1.921506336263032e+00,4.929780274960314e-01,6.424943666633335e-03
1.928157789796517e+00,4.900849854366039e-01,6.447184141955932e-03
1.934832267888013e+00,4.872088932730325e-01,6.469501604528261e-03
1.941529850238938e+00,4.843496517343884e-01,6.491896320848070e-03
1.948250616826600e+00,4.815071621311031e-01,6.514368558335614e-03
1.954994647905159e+00,4.786813263515626e-01,6.536918585336845e-03
1.961762024006579e+00,4.758720468587243e-01,6.559546671126613e-03
1.968552825941592e+00,4.730792266867502e-01,6.582253085911889e-03
1.975367134800665e+00,4.703027694376641e-01,6.605038100834989e-03
1.982205031954964e+00,4.675425792780240e-01,6.627901987976804e-03
1.989066599057329e+00,4.647985609356173e-01,6.650845020360064e-03
1.995951918043249e+00,4.620706196961741e-01,6.673867471952585e-03
2.002861071131838e+00,4.593586614000995e-01,6.696969617670543e-03
2.009794140826819e+00,4.566625924392249e-01,6.720151733381765e-03
2.016751209917509e+00,4.539823197535795e-01,6.743414095909015e-03
2.023732361479806e+00,4.513177508281798e-01,6.766756983033301e-03
2.030737678877183e+00,4.486687936898376e-01,6.790180673497193e-03
2.037767245761681e+00,4.460353569039878e-01,6.813685447008152e-03
2.044821146074913e+00,4.434173495715332e-01,6.837271584241870e-03
2.051899464049058e+00,4.408146813257101e-01,6.860939366845620e-03
2.059002284207876e+00,4.382272623289690e-01,6.884689077441623e-03
2.066129691367711e+00,4.356550032698773e-01,6.908520999630418e-03
2.073281770638505e+00,4.330978153600370e-01,6.932435417994249e-03
2.080458607424816e+00,4.305556103310222e-01,6.956432618100469e-03
2.087660287426839e+00,4.280283004313337e-01,6.980512886504947e-03
2.094886896641424e+00,4.255157984233729e-01,7.004676510755481e-03
2.102138521363108e+00,4.230180175804303e-01,7.028923779395248e-03
2.109415248185143e+00,4.205348716836956e-01,7.053254981966238e-03
2.116717164000532e+00,4.180662750192818e-01,7.077670409012714e-03
2.124044356003063e+00,4.156121423752699e-01,7.102170352084681e-03
2.131396911688355e+00,4.131723890387679e-01,7.126755103741373e-03
2.138774918854899e+00,4.107469307929885e-01,7.151424957554739e-03
